Link_num,O,D,FFT,Power,Capacity,B,Length,Link_num,x_n,y_n,Direction,x_n1,Cost
43,15,10,6,3,13512.00155,0.2,6,43,22174.396959668396,22800,625.6030403316036,22195.34594189948,11.303684001986992
44,15,14,5,3,5127.526119,0.2,5,44,8442.256617546538,6900,-1542.256617546538,8390.612516744812,9.463258118978018
45,15,19,3,2,14564.75315,0.25,3,45,20739.904179097353,21400,660.0958209026467,20762.008188719126,4.520787372129245
46,15,22,3,2,9599.180565,0.25,3,46,20551.886853251322,21200,648.1131467486775,20573.589610302777,6.437924555151346
47,16,8,5,3,5045.822583,0.2,5,47,7971.526223794752,9400,1428.4737762052482,8019.360185310395,8.943015723727655
48,16,10,4,3,4854.917717,0.2,4,48,12040.813330826673,9800,-2240.8133308266733,11965.777316574284,16.20427082558962
49,16,17,2,2,5229.910063,0.25,2,49,11700.223897937592,13800,2099.7761020624075,11770.53713079535,4.502475927322137
50,16,18,3,2,19679.89671,0.25,3,50,13068.608549636914,13200,131.39145036308582,13073.008331897425,3.330730565179726
51,17,10,8,3,4993.510694,0.2,8,51,7584.063701730762,7700,115.93629826923825,7587.94595180917,13.605417257867511
52,17,16,2,2,5229.910063,0.25,2,52,11746.809899198546,11800,53.19010080145381,11748.591026214759,4.522443483126341
53,17,19,2,2,4823.950831,0.25,2,53,11936.878637796977,12300,363.1213622030227,11949.038142265634,5.061581437754841
54,18,7,2,3,23403.47319,0.2,2,54,14624.364383582946,15900,1275.6356164170538,14667.080396995369,2.0976000519756166
55,18,16,3,2,19679.89671,0.25,3,55,13189.268072177087,14000,810.7319278229133,13216.416291823096,3.3368658798204356
56,18,20,4,2,23403.47319,0.25,4,56,17006.533156762118,15700,-1306.5331567621179,16962.782506396317,4.528045022298703
57,19,15,3,2,14564.75315,0.25,3,57,20661.72733311488,20900,238.272666885121,20669.706146424487,4.509344089951748
58,19,17,2,2,4823.950831,0.25,2,58,12032.062940079006,10800,-1232.0629400790058,11990.806004010394,5.110602017925258
59,19,20,4,2,5002.607563,0.25,4,59,9254.187016475149,9600,345.812983524851,9265.766931501297,7.422028900350044
60,20,18,4,2,23403.47319,0.25,4,60,16918.090261184843,19100,2181.9097388151567,16991.153826099802,4.522567081165621
61,20,19,4,2,5002.607563,0.25,4,61,9271.194472774703,7600,-1671.1944727747032,9215.232750951416,7.434618550248306
62,20,21,6,2,5059.91234,0.25,6,62,6241.379073879997,6000,-241.37907387999712,6233.296239232987,8.282266702372883
63,20,22,5,2,5075.697193,0.25,5,63,7082.26766965816,7000,-82.26766965816023,7079.512849366769,7.43367889722734
64,21,20,6,2,5059.91234,0.25,6,64,6085.158250812614,7300,1214.841749187386,6125.838517014347,8.169446911664272
65,21,22,2,2,5229.910063,0.25,2,65,10153.776118671658,13200,3046.223881328342,10255.782160598852,3.8846761298053822
66,21,24,3,2,4885.357564,0.25,3,66,12616.088590714813,13900,1283.911409285187,12659.081727840781,8.001704291935457
67,22,15,3,2,9599.180565,0.25,3,67,20418.950532753326,21000,581.0494672466739,20438.40759127126,6.393593156277298
68,22,20,5,2,5075.697193,0.25,5,68,7067.05305344782,7000,-67.05305344782028,7064.80771073901,7.42323373485265
69,22,21,2,2,5229.910063,0.25,2,69,10865.32455785165,12300,1434.6754421483492,10913.366188737915,4.1580771709029065
70,22,23,4,2,5000.0,0.25,4,70,11214.483729808146,10400,-814.4837298081457,11187.209877088037,9.030585813045263
71,23,14,4,2,4924.790605,0.25,4,71,7784.548052202165,8500,715.4519477978347,7808.505720524342,6.49856854510789
72,23,22,4,2,5000.0,0.25,4,72,11777.881232279806,9300,-2477.8812322798058,11694.906747567828,9.548739452867554
73,23,24,2,2,5078.508436,0.25,2,73,7715.470367284157,5700,-2015.470367284157,7647.980201492877,3.1540442544611693
74,24,13,4,2,5091.256152,0.25,4,74,13244.101504392682,12500,-744.1015043926818,13219.184475240487,10.76698331101008
75,24,21,3,2,4885.357564,0.25,3,75,11748.319328467438,16100,4351.680671532562,11894.03997748308,7.337305740657815
76,24,23,2,2,5078.508436,0.25,2,76,8316.066334547682,7100,-1216.0663345476823,8275.34506180458,3.3407059529683805
